step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
120,0.46,4.0448,-0.0081,2.0395,2.0053,0.0388,+0.0766,7.7468,26.7346
121,0.44,4.0169,+0.0005,2.0048,2.0121,0.0301,+0.3310,7.7319,23.6035
122,0.47,4.0489,-0.0018,2.0520,1.9970,0.0783,+0.2559,7.6661,25.9539
123,0.45,4.0421,+0.0036,2.0446,1.9975,0.0549,+0.1675,6.8029,25.2675
124,0.45,4.0459,+0.0111,2.0440,2.0019,0.0452,+0.2365,6.8600,25.6789
125,0.47,4.1215,-0.0081,2.1424,1.9791,0.3990,+0.0449,5.8863,26.5415
126,0.44,4.0736,-0.0005,2.0804,1.9932,0.0532,+0.4058,7.6939,28.2805
127,0.46,4.0078,-0.0040,2.0009,2.0070,0.0283,+0.3880,7.1116,24.0612
128,0.44,4.0332,-0.0097,2.0485,1.9847,0.0383,+0.5326,8.0043,24.9155
129,0.46,4.0298,+0.0032,2.0284,2.0014,0.0527,+0.2473,6.9146,21.9745
130,0.46,4.0192,-0.0090,2.0200,1.9992,0.0456,+0.2301,7.0705,21.8983
131,0.43,4.0146,+0.0037,2.0047,2.0098,0.0264,+0.5128,7.4800,24.7453
132,0.43,4.0189,+0.0058,2.0126,2.0062,0.0307,+0.3435,7.7268,24.5122
133,0.45,4.0001,+0.0028,1.9947,2.0054,0.0394,+0.2286,6.4800,23.5542
134,0.46,4.0105,+0.0043,2.0033,2.0071,0.0379,+0.6579,7.2586,24.8951
135,0.44,4.0234,+0.0034,2.0219,2.0016,0.0438,+0.3551,6.7736,25.6813
136,0.45,4.0155,-0.0006,2.0213,1.9942,0.0334,+0.2227,7.2780,23.9284
137,0.44,4.0535,+0.0082,2.0538,1.9997,0.0586,+0.3315,7.3624,23.7106
138,0.45,4.0188,-0.0022,2.0187,2.0001,0.0326,+0.8312,6.9195,24.4875
139,0.43,4.0384,+0.0037,2.0477,1.9907,0.0920,+0.6442,8.0357,26.4952
140,0.42,4.0220,+0.0004,2.0310,1.9910,0.0696,+0.4069,7.1473,24.5297
141,0.46,4.0324,+0.0030,2.0328,1.9996,0.0510,+0.1510,6.5961,24.5656
142,0.46,4.0561,-0.0014,2.0628,1.9933,0.0743,+0.0468,7.4200,23.7757
143,0.45,4.0170,-0.0039,2.0196,1.9974,0.0441,+0.3257,7.8744,23.8475
144,0.45,4.0130,-0.0014,2.0160,1.9970,0.0607,+0.4260,7.2442,24.4179
145,0.44,4.0112,-0.0053,2.0037,2.0075,0.0425,+0.4275,7.8296,25.1961
146,0.42,4.0036,+0.0074,1.9963,2.0074,0.0377,+0.5572,7.3835,23.5795
147,0.44,3.9999,+0.0023,2.0015,1.9984,0.0296,+0.6164,7.2269,23.5044
148,0.44,4.0487,-0.0025,2.0486,2.0002,0.0420,+0.3184,8.1789,25.1277
149,0.48,4.0208,+0.0046,2.0155,2.0053,0.0527,+0.2145,6.3754,22.2762
150,0.46,4.0450,+0.0038,2.0406,2.0044,0.0316,-0.0031,8.1196,25.6186
151,0.44,4.0283,-0.0066,2.0318,1.9965,0.0494,+0.4027,8.9099,27.9913
152,0.45,4.0004,+0.0029,1.9834,2.0169,0.0309,+0.3231,6.7334,22.0997
153,0.41,3.9769,+0.0025,1.9628,2.0141,0.0205,+0.4900,8.0771,20.7882
154,0.45,4.0418,-0.0038,2.0458,1.9960,0.1524,+0.4256,8.1601,25.0158
155,0.43,4.0316,+0.0070,2.0261,2.0055,0.0407,+0.4813,8.4067,24.3771
156,0.46,4.0351,-0.0083,2.0311,2.0040,0.0526,+0.8700,10.3960,26.0494
157,0.43,4.0472,+0.0031,2.0532,1.9939,0.0631,+0.4462,8.2072,26.0482
158,0.45,4.0231,+0.0029,2.0216,2.0015,0.0601,+0.3872,8.8809,23.2795
159,0.42,4.0128,+0.0020,2.0111,2.0018,0.0366,+0.4320,8.1940,24.5233
160,0.46,4.0293,-0.0039,2.0309,1.9984,0.0484,+0.0563,8.0808,26.3422
161,0.45,4.0316,-0.0078,2.0370,1.9946,0.0433,+0.5579,7.9969,23.3587
162,0.45,4.0391,+0.0012,2.0492,1.9899,0.0457,+0.2101,8.5253,25.4989
163,0.42,4.0098,-0.0038,2.0134,1.9964,0.0363,+0.2217,7.2168,22.1484
164,0.43,3.9969,-0.0010,1.9914,2.0055,0.0437,+0.1913,8.6889,21.1988
165,0.46,4.0311,-0.0017,2.0358,1.9953,0.0471,+0.5487,9.2106,24.4019
166,0.44,4.0164,-0.0009,2.0069,2.0095,0.0283,+0.8257,10.2053,24.7679
167,0.43,4.0170,+0.0061,2.0096,2.0073,0.0403,+0.4528,8.7851,23.5427
168,0.44,4.0177,+0.0091,2.0135,2.0041,0.0354,+0.3349,8.3896,23.6944
169,0.42,4.0044,+0.0061,2.0088,1.9957,0.0342,+0.3487,7.5156,21.2047
170,0.42,3.9818,+0.0018,1.9713,2.0106,0.0264,+0.1227,8.0114,20.3446
171,0.43,4.0291,+0.0035,2.0195,2.0096,0.0525,+0.1760,8.2439,22.6839
172,0.46,4.0195,-0.0071,2.0054,2.0140,0.0299,+0.6421,9.3988,24.6788
173,0.44,4.0293,+0.0010,2.0333,1.9960,0.0569,+0.5337,9.7781,26.0228
174,0.43,4.0667,-0.0038,2.0918,1.9749,0.4948,+0.5254,9.5936,26.0098
175,0.43,4.0118,-0.0023,2.0195,1.9924,0.0670,+0.5533,8.7897,21.3224
176,0.45,3.9948,-0.0029,1.9898,2.0049,0.0320,+0.5254,7.5605,21.5731
177,0.43,3.9937,-0.0013,1.9877,2.0060,0.0429,+0.3019,7.0524,21.6997
178,0.42,4.0368,+0.0041,2.0404,1.9964,0.0718,+0.2468,8.4058,23.8717
179,0.44,4.0419,-0.0002,2.0436,1.9983,0.0793,+0.0166,8.8939,22.8310
180,0.43,4.0183,-0.0018,2.0138,2.0045,0.0436,+0.2201,7.7549,23.2098
181,0.40,4.0133,+0.0030,2.0100,2.0033,0.0460,+0.0685,8.1225,21.8766
182,0.45,4.0157,-0.0029,2.0226,1.9931,0.0453,+0.1830,7.1490,21.1100
183,0.44,3.9828,-0.0033,1.9770,2.0059,0.0224,+0.0596,8.7369,20.8904
184,0.45,4.0316,-0.0038,2.0274,2.0042,0.0312,-0.0741,9.8191,24.8698
185,0.47,4.0316,-0.0011,2.0342,1.9974,0.0656,+0.2139,9.8820,23.3161
186,0.43,4.0675,-0.0002,2.0774,1.9902,0.1508,+0.5106,8.1159,21.9765
187,0.46,4.0184,-0.0038,2.0188,1.9995,0.0389,+0.3920,8.9155,23.0032
188,0.42,4.0116,+0.0048,2.0190,1.9926,0.0576,+0.2011,7.9439,23.5616
189,0.44,3.9984,+0.0060,1.9922,2.0063,0.0360,+0.2503,7.3703,21.5004
190,0.43,3.9997,+0.0008,2.0045,1.9952,0.0343,+0.0862,6.7144,20.6271
191,0.41,4.0041,+0.0003,1.9987,2.0054,0.0348,+0.1162,7.2396,22.4458
192,0.44,3.9931,+0.0053,1.9882,2.0050,0.0396,-0.0125,5.9371,20.0300
193,0.42,4.0019,+0.0024,1.9993,2.0026,0.0436,+0.3822,7.1211,22.5674
194,0.40,4.0155,+0.0024,2.0152,2.0003,0.0472,+0.1360,7.4152,21.3933
195,0.42,4.0209,-0.0065,2.0127,2.0082,0.0409,+0.1030,7.5120,21.1189
196,0.41,3.9848,+0.0036,1.9715,2.0133,0.0367,-0.1765,7.7334,19.8129
197,0.39,3.9943,+0.0070,1.9954,1.9988,0.0409,+0.1576,7.0399,21.0273
198,0.43,3.9860,+0.0023,1.9820,2.0040,0.0245,+0.1793,7.2814,21.0289
199,0.44,3.9995,+0.0028,1.9994,2.0001,0.0307,+0.0335,7.3207,19.7399
200,0.42,3.9969,+0.0008,1.9917,2.0052,0.0280,-0.0419,7.0272,20.8615
201,0.44,3.9979,-0.0011,2.0046,1.9933,0.0461,+0.0080,6.7745,20.5766
202,0.43,3.9863,-0.0017,1.9768,2.0095,0.0274,-0.0306,6.3236,21.6514
203,0.44,3.9768,+0.0032,1.9612,2.0156,0.0314,-0.1371,6.7782,20.9616
204,0.45,3.9869,-0.0019,1.9871,1.9997,0.0319,+0.0195,6.6707,21.3383
205,0.46,4.0049,+0.0028,2.0030,2.0018,0.0279,+0.2151,7.9145,20.9357
206,0.48,3.9897,+0.0011,1.9997,1.9900,0.0357,-0.0285,8.2484,19.8045
207,0.46,4.0227,+0.0011,2.0229,1.9998,0.0825,+0.0788,7.3726,23.1706
208,0.45,3.9797,-0.0058,1.9712,2.0085,0.0262,-0.1057,7.4655,19.8895
209,0.48,4.0041,+0.0017,1.9961,2.0080,0.0349,-0.0633,7.5155,23.7500
210,0.47,3.9906,+0.0061,1.9933,1.9973,0.0371,+0.0851,7.0924,20.7650
211,0.47,3.9405,-0.0006,1.9339,2.0067,0.0148,-0.1696,5.3958,16.3932
212,0.45,4.0093,-0.0004,2.0229,1.9864,0.0637,-0.0328,6.9037,21.8249
213,0.45,4.0121,+0.0017,2.0242,1.9879,0.0575,-0.0668,7.3193,21.8544
214,0.46,3.9850,+0.0029,1.9846,2.0004,0.0292,+0.0218,6.3414,19.6068
215,0.46,3.9855,+0.0022,1.9799,2.0056,0.0220,-0.3919,6.5813,20.6852
216,0.46,3.9808,+0.0052,1.9707,2.0102,0.0265,-0.3131,8.5906,20.2867
217,0.45,4.0082,-0.0027,2.0071,2.0011,0.0291,+0.0253,8.5092,21.6132
218,0.44,3.9770,-0.0050,1.9781,1.9989,0.0505,+0.1135,7.4002,19.3162
219,0.45,3.9906,-0.0012,1.9942,1.9964,0.0473,-0.0454,6.7341,19.8061
220,0.45,3.9951,+0.0045,1.9910,2.0042,0.0303,-0.2669,6.3113,19.6892
221,0.45,4.0014,-0.0010,2.0001,2.0013,0.0404,-0.0338,6.4061,21.5760
222,0.47,4.0118,-0.0012,2.0121,1.9997,0.0412,+0.3288,7.5945,21.8721
223,0.43,4.0178,+0.0076,2.0160,2.0018,0.0352,-0.0517,7.5079,21.1833
224,0.46,3.9774,+0.0020,1.9720,2.0054,0.0250,-0.0165,6.9557,20.1277
225,0.45,3.9670,-0.0013,1.9534,2.0136,0.0157,-0.1553,7.9369,19.8109
226,0.45,3.9671,+0.0034,1.9565,2.0107,0.0227,-0.1565,6.7592,18.4047
227,0.43,3.9772,+0.0045,1.9739,2.0033,0.0356,-0.3701,6.1187,17.3212
228,0.47,3.9807,+0.0021,1.9720,2.0087,0.0327,-0.4248,7.6478,19.8818
229,0.48,4.0015,+0.0019,1.9994,2.0022,0.0281,+0.0566,7.5780,20.6474
230,0.45,4.0129,-0.0050,2.0201,1.9927,0.0475,-0.2483,6.6765,19.8246
231,0.45,4.0414,+0.0046,2.0484,1.9930,0.0913,-0.2457,7.5934,21.6075
232,0.44,3.9853,-0.0027,1.9879,1.9974,0.0261,-0.2606,6.2565,17.5877
233,0.45,4.0014,-0.0034,2.0061,1.9953,0.0500,-0.3578,6.5374,19.4995
234,0.46,3.9941,+0.0014,1.9870,2.0071,0.0387,-0.2339,6.8553,19.8803
235,0.44,3.9723,+0.0034,1.9571,2.0152,0.0334,-0.1633,5.4362,18.6235
236,0.44,3.9776,+0.0024,1.9648,2.0129,0.0215,-0.2856,6.7616,19.7231
237,0.45,3.9871,-0.0032,1.9750,2.0121,0.0288,-0.3277,6.4652,21.1026
238,0.43,3.9654,-0.0012,1.9582,2.0072,0.0181,-0.2755,5.3687,17.3011
239,0.42,3.9922,+0.0028,1.9902,2.0019,0.0224,-0.3603,5.2681,18.1217
240,0.44,4.0028,+0.0017,2.0007,2.0021,0.0314,-0.2866,6.2310,19.4904
241,0.46,3.9834,-0.0033,1.9762,2.0072,0.0347,-0.3305,5.4310,17.8116
242,0.44,3.9884,-0.0013,1.9781,2.0102,0.0261,-0.1924,5.8770,19.0635
